"date","id","n_killed","n_injured","total_killed","total_injured","n_killed_last_year","n_killed_last_month"
"2014-01",1,1070,1875,1070,1875,0,0
"2014-02",2,845,1223,1915,3098,0,1070
"2014-03",3,1007,1551,2922,4649,0,845
"2014-04",4,979,1782,3901,6431,0,1007
"2014-05",5,1099,2100,5000,8531,0,979
"2014-06",6,1127,2069,6127,10600,0,1099
"2014-07",7,1162,2423,7289,13023,0,1127
"2014-08",8,1140,2298,8429,15321,0,1162
"2014-09",9,1013,2059,9442,17380,0,1140
"2014-10",10,1012,1884,10454,19264,0,1013
"2014-11",11,1017,1832,11471,21096,0,1012
"2014-12",12,1086,1906,12557,23002,0,1017
"2015-01",13,1123,1808,13680,24810,1070,1086
"2015-02",14,870,1378,14550,26188,845,1123
"2015-03",15,1090,2093,15640,28281,1007,870
"2015-04",16,995,2149,16635,30430,979,1090
"2015-05",17,1164,2677,17799,33107,1099,995
"2015-06",18,1092,2414,18891,35521,1127,1164
"2015-07",19,1293,2669,20184,38190,1162,1092
"2015-08",20,1199,2664,21383,40854,1140,1293
"2015-09",21,1247,2426,22630,43280,1013,1199
"2015-10",22,1092,2257,23722,45537,1012,1247
"2015-11",23,1133,2148,24855,47685,1017,1092
"2015-12",24,1186,2284,26041,49969,1086,1133
"2016-01",25,1139,2250,27180,52219,1123,1186
"2016-02",26,984,1864,28164,54083,870,1139
"2016-03",27,1181,2430,29345,56513,1090,984
"2016-04",28,1152,2276,30497,58789,995,1181
"2016-05",29,1158,2634,31655,61423,1164,1152
"2016-06",30,1276,2504,32931,63927,1092,1158
"2016-07",31,1399,3038,34330,66965,1293,1276
"2016-08",32,1429,3032,35759,69997,1199,1399
"2016-09",33,1286,2598,37045,72595,1247,1429
"2016-10",34,1356,2792,38401,75387,1092,1286
"2016-11",35,1368,2642,39769,78029,1133,1356
"2016-12",36,1338,2520,41107,80549,1186,1368
"2017-01",37,1356,2604,42463,83153,1139,1338
"2017-02",38,1141,2197,43604,85350,984,1356
"2017-03",39,1220,2233,44824,87583,1181,1141
"2017-04",40,1231,2648,46055,90231,1152,1220
"2017-05",41,1389,2732,47444,92963,1158,1231
"2017-06",42,1366,2679,48810,95642,1276,1389
"2017-07",43,1391,3018,50201,98660,1399,1366
"2017-08",44,1324,2731,51525,101391,1429,1391
"2017-09",45,1196,2573,52721,103964,1286,1324
"2017-10",46,1305,2742,54026,106706,1356,1196
"2017-11",47,1304,2377,55330,109083,1368,1305
"2017-12",48,1288,2169,56618,111252,1338,1304
